"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMP","TOT","PC_LF","M","2000-01",6.767954,
"AUS","UNEMP","TOT","PC_LF","M","2000-02",6.619194,
"AUS","UNEMP","TOT","PC_LF","M","2000-03",6.565158,
"AUS","UNEMP","TOT","PC_LF","M","2000-04",6.376445,
"AUS","UNEMP","TOT","PC_LF","M","2000-05",6.41458,
"AUS","UNEMP","TOT","PC_LF","M","2000-06",6.115278,
"AUS","UNEMP","TOT","PC_LF","M","2000-07",5.954029,
"AUS","UNEMP","TOT","PC_LF","M","2000-08",6.051239,
"AUS","UNEMP","TOT","PC_LF","M","2000-09",5.963094,
"AUS","UNEMP","TOT","PC_LF","M","2000-10",6.00955,
"AUS","UNEMP","TOT","PC_LF","M","2000-11",6.261086,
"AUS","UNEMP","TOT","PC_LF","M","2000-12",6.243863,
"AUS","UNEMP","TOT","PC_LF","M","2001-01",6.140182,
"AUS","UNEMP","TOT","PC_LF","M","2001-02",6.501884,
"AUS","UNEMP","TOT","PC_LF","M","2001-03",6.458813,
"AUS","UNEMP","TOT","PC_LF","M","2001-04",6.78265,
"AUS","UNEMP","TOT","PC_LF","M","2001-05",6.893298,
"AUS","UNEMP","TOT","PC_LF","M","2001-06",6.933033,
"AUS","UNEMP","TOT","PC_LF","M","2001-07",6.879905,
"AUS","UNEMP","TOT","PC_LF","M","2001-08",6.880722,
"AUS","UNEMP","TOT","PC_LF","M","2001-09",6.841275,
"AUS","UNEMP","TOT","PC_LF","M","2001-10",7.193299,
"AUS","UNEMP","TOT","PC_LF","M","2001-11",6.883699,
"AUS","UNEMP","TOT","PC_LF","M","2001-12",6.861356,
"AUS","UNEMP","TOT","PC_LF","M","2002-01",6.913182,
"AUS","UNEMP","TOT","PC_LF","M","2002-02",6.536519,
"AUS","UNEMP","TOT","PC_LF","M","2002-03",6.430511,
"AUS","UNEMP","TOT","PC_LF","M","2002-04",6.346187,
"AUS","UNEMP","TOT","PC_LF","M","2002-05",6.372921,
"AUS","UNEMP","TOT","PC_LF","M","2002-06",6.495926,
"AUS","UNEMP","TOT","PC_LF","M","2002-07",6.179757,
"AUS","UNEMP","TOT","PC_LF","M","2002-08",6.34853,
